title,year,rating,genre,sinopse,sinopse_no_stopwords,cluster
O 3º Homem,1949,8.1,Drama,"o romancista holly martins viaja para sombria, viena pós-guerra, apenas para ele mesmo investigar a misteriosa morte de um velho amigo, harry lime","romancista holly martins viaja sombria, viena pós-guerra, apenas investigar misteriosa morte velho amigo, harry lime",1
Spotlight: Segredos Revelados,2015,8.1,Biografia,a verdadeira historia de como o jornal boston globe revelou o escândalo de abuso sexual infantil dentro da igreja católica da cidade e que agitou a toda igreja católica no mundo.,verdadeira historia jornal boston globe revelou escândalo abuso sexual infantil dentro igreja católica cidade agitou toda igreja católica mundo.,0
Piratas do Caribe: A Maldição do Pérola Negra,2003,8.1,Ação,"o ferreiro will turner se une ao excêntrico pirata ""capitão"" jack sparrow para salvar elizabeth swann, a filha do governador e seu amor, dos ex-aliados piratas de jack, que agora são mortos-vivos.","ferreiro will turner une excêntrico pirata ""capitão"" jack sparrow salvar elizabeth swann, filha governador amor, ex-aliados piratas jack, agora mortos-vivos.",2
O Mistério da Lixeira,2024,8.4,Ação,"um barbeiro busca vingança depois que sua casa é assaltada, dizendo enigmaticamente à polícia que sua ""lakshmi"" foi levada, deixando-os incertos se é uma pessoa ou um objeto. sua busca para recuperar a elusiva ""lakshmi"" se desenrola.","barbeiro busca vingança casa assaltada, dizendo enigmaticamente polícia ""lakshmi"" levada, deixando-os incertos pessoa objeto. busca recuperar elusiva ""lakshmi"" desenrola.",2
O Exterminador do Futuro,1984,8.1,Ação,"um assassino ciborgue do futuro tenta encontrar e matar sarah connor, uma garçonete que está destinada a ser a mãe de um homem que salvará a humanidade da extinção.","assassino ciborgue futuro tenta encontrar matar sarah connor, garçonete destinada mãe homem salvará humanidade extinção.",2
O Grande Lebowski,1998,8.1,Comédia,"jeff the dude lebowski, foi confundido por um millonário do mesmo nome e procurará restituçao com a ajuda do seus amigos.","jeff the dude lebowski, confundido millonário nome procurará restituçao ajuda amigos.",0
O Ódio,1995,8.1,Policial,24 horas na vida de três jovens nos subúrbios franceses no dia seguinte a uma rebelião violenta.,24 horas vida três jovens subúrbios franceses dia seguinte rebelião violenta.,3
Jai Bhim,2021,8.6,Policial,"quando um homem tribal é preso por um caso de suposto roubo, sua esposa recorre a um advogado de direitos humanos para ajudá-lo a fazer justiça.","homem tribal preso caso suposto roubo, esposa recorre advogado direitos humanos ajudá-lo fazer justiça.",3
O Sétimo Selo,1957,8.1,Drama,"um homem procura respostas sobre a vida, a morte e a existência de deus enquanto joga xadrez contra a morte durante a morte negra.","homem procura respostas sobre vida, morte existência deus enquanto joga xadrez contra morte durante morte negra.",1
O Quarto de Jack,2015,8.1,Drama,"um menino é mantido preso em um quarto com sua mãe desde seu nascimento, por isso sua visão do mundo é muito reduzida.","menino mantido preso quarto mãe desde nascimento, visão mundo reduzida.",1
Hotel Ruanda,2004,8.1,Biografia,paul rusesabagina era o gerente de um hotel que abrigava mais de mil refugiados tutsis durante sua luta contra a milícia hutu em ruanda.,paul rusesabagina gerente hotel abrigava mil refugiados tutsis durante luta contra milícia hutu ruanda.,0
Platoon,1986,8.1,Drama,"um jovem recruta no vietnã, se vê preso em uma batalha de vontades entre dois sargentos, um bom e outro mau. um exame perspicaz da brutalidade da guerra e da dualidade do homem em conflito.","jovem recruta vietnã, vê preso batalha vontades dois sargentos, bom outro mau. exame perspicaz brutalidade guerra dualidade homem conflito.",1
Os Melhores Anos de Nossas Vidas,1946,8.1,Drama,três veteranos da segunda guerra mundial voltam para casa na cidade pequena da américa para descobrir que eles e suas famílias foram mudados irreparavelmente.,três veteranos segunda guerra mundial voltam casa cidade pequena américa descobrir famílias mudados irreparavelmente.,1
Antes do Pôr do Sol,2004,8.1,Drama,"nove anos depois de se conhecer, o jesse e a celine se encontram novamente na frança.","nove anos conhecer, jesse celine encontram novamente frança.",1
A Noviça Rebelde,1965,8.1,Biografia,uma mulher deixa um convento austríaco para se tornar a instrutora dos filhos de um oficial da marinha viúvo.,mulher deixa convento austríaco tornar instrutora filhos oficial marinha viúvo.,0
O Exorcista,1973,8.1,Terror,"quando uma adolescente é possuída por uma entidade misteriosa, sua mãe busca a ajuda de dois padres católicos para salvar sua vida.","adolescente possuída entidade misteriosa, mãe busca ajuda dois padres católicos salvar vida.",0
Os Incríveis,2004,8.0,Animação,uma familia de heróis encobertos tentando viver uma vida tranquila se vem obrigados a salvar o mundo.,familia heróis encobertos tentando viver vida tranquila vem obrigados salvar mundo.,4
Sempre ao Seu Lado,2009,8.1,Biografia,um professor universitário se liga a um cachorro abandonado que ele leva para casa.,professor universitário liga cachorro abandonado leva casa.,0
Rush: No Limite da Emoção,2013,8.1,Biografia,a história da rivalidade impiedosa nos anos 70 entre os rivais de fórmula 1 james hunt e niki lauda.,história rivalidade impiedosa anos 70 rivais fórmula 1 james hunt niki lauda.,0
O Mágico de Oz,1939,8.1,Aventura,a dorothy gale é levada por um tornado até a mágica cidade de oz e vá numa viagem com novos amigos que la ajudar a voltar para casa.,dorothy gale levada tornado mágica cidade oz vá viagem novos amigos la ajudar voltar casa.,0
A Voz do Silêncio,2016,8.1,Animação,"um jovem é excluído por seus colegas depois de intimidar uma menina surda ao ponto de mudar de escola. anos depois, ele parte para o caminho da redenção.","jovem excluído colegas intimidar menina surda ponto mudar escola. anos depois, parte caminho redenção.",4
O Martírio de Joana D'Arc,1928,8.1,Biografia,"em 1431, joana d'arc é julgada sob acusações de heresia. os advogados da igreja tentam forçar jeanne a retractar suas reivindicações de visões sagradas.","1431, joana d'arc julgada sob acusações heresia. advogados igreja tentam forçar jeanne retractar reivindicações visões sagradas.",0
Conta Comigo,1986,8.1,Aventura,"depois da morte de um de seus velhos amigos, um escritor relembra sua viagem com os amigos de infância para encontrar o corpo de um menino desaparecido.","morte velhos amigos, escritor relembra viagem amigos infância encontrar corpo menino desaparecido.",0
O Gigante de Ferro,1999,8.1,Animação,"um jovem faz amizade com um robô gigante do espaço, um paranóico agente do governo quer que seja destruído.","jovem faz amizade robô gigante espaço, paranóico agente governo quer destruído.",4
Meu Pai e Meu Filho,2005,8.2,Drama,a família de um jornalista de esquerda é separada após o golpe militar na turquia em 1980.,família jornalista esquerda separada após golpe militar turquia 1980.,1
A Criada,2016,8.1,Drama,"uma mulher é contratada como criada de uma herdeira japonesa, mas secretamente esta envolvida em um plano para defraudá-la.","mulher contratada criada herdeira japonesa, secretamente envolvida plano defraudá-la.",1
Rede de Intrigas,1976,8.1,Drama,uma rede de televisão explora os delírios e revelações de um homem perturbado.,rede televisão explora delírios revelações homem perturbado.,1
A Batalha de Argel,1966,8.1,Drama,"nos anos 1950, o medo e a violência aumentam à medida que o povo da argélia luta pela independência do governo francês.","anos 1950, medo violência aumentam medida povo argélia luta independência governo francês.",1
As Vinhas da Ira,1940,8.1,Drama,"uma família pobre no centro-oeste é forçada a abandonar suas terras. eles viajam para a califórnia, sofrendo os infortúnios dos sem-teto na grande depressão.","família pobre centro-oeste forçada abandonar terras. viajam califórnia, sofrendo infortúnios sem-teto grande depressão.",1
Ser ou Não Ser,1942,8.1,Comédia,"durante a ocupação nazista da polônia, uma trupe de atuação se envolve nos esforços de um soldado polonês para rastrear um espião alemão.","durante ocupação nazista polônia, trupe atuação envolve esforços soldado polonês rastrear espião alemão.",0
Demon Slayer: Mugen Train - O Filme,2020,8.2,Animação,"tanjiro, inosuke e zenitsu são enviados pelo comando do esquadrão de exterminadores para uma missão no trem infinito, onde devem se encontrar com o pilar das chamas, rengoku, e impedir um oni que está fazendo inúmeras vítimas.","tanjiro, inosuke zenitsu enviados comando esquadrão exterminadores missão trem infinito, onde devem encontrar pilar chamas, rengoku, impedir oni fazendo inúmeras vítimas.",4
Gangues de Wasseypur,2012,8.2,Ação,um confronto entre sultão e shahid khan leva à expulsão de khan de wasseypur e acende uma rivalidade mortal que se estende por três gerações.,confronto sultão shahid khan leva expulsão khan wasseypur acende rivalidade mortal estende três gerações.,2
Na Natureza Selvagem,2007,8.0,Aventura,"depois de terminar a universidade, christopher mccandless deixa pra trás suas posses e vai para o alasca viver na natureza.","terminar universidade, christopher mccandless deixa pra trás posses vai alasca viver natureza.",0
Histórias Cruzadas,2011,8.1,Drama,uma aspirante a escritora durante o movimento dos direitos civis nos anos 60 nos estados unidos decide escrever um livro sobre as experiências das criadas negras que trabalhavam para as famílias brancas.,aspirante escritora durante movimento direitos civis anos 60 estados unidos decide escrever livro sobre experiências criadas negras trabalhavam famílias brancas.,1
Troca Surpresa,2023,8.3,Comédia,"trocadas por acidente enquanto viajavam até a casa dos novos maridos, duas mulheres recém-casadas vivem histórias inesquecíveis.","trocadas acidente enquanto viajavam casa novos maridos, duas mulheres recém-casadas vivem histórias inesquecíveis.",0
A Chantagem,2015,8.2,Policial,um homem toma medidas desesperadas para tentar salvar sua família do lado negro da lei depois que eles cometem um crime inesperado.,homem toma medidas desesperadas tentar salvar família lado negro lei cometem crime inesperado.,3
